irradiation,price
0,8.7
0,8.05
0,8.47
0,8.47
0,8.86
0,11.32
4,23.48
168,27.65
394,27.21
574,27.02
693,28.4
743,27.56
722,26.29
629,25.66
473,25.3
263,24.3
42,31.74
0,40.33
0,37.61
0,35.64
0,32.68
0,28.14
0,25.35
0,20.13
0,13.82
0,14.34
0,12.82
0,14.79
0,16.09
0,23.72
4,36.14
168,40.38
394,39.69
574,38.03
694,35.68
745,33.75
724,32.36
632,32.31
476,31.84
266,31.84
44,41.13
0,52.69
0,48.05
0,42.24
0,38.66
0,33.73
0,27.19
0,24.38
0,20.65
0,15.99
0,15.27
0,14.57
0,14.33
0,20.88
4,37.67
167,40.93
394,39.37
575,35.11
695,35.36
747,32.88
726,31.1
635,30.55
479,31.31
270,31.88
46,44.88
0,53.6
0,47.56
0,47.28
0,42.36
0,34.92
0,30.22
0,23.35
0,47.66
0,42.19
0,47.71
0,43.6
0,48.65
0,86.7
4,138.87
167,146.52
395,153.9
576,151.52
697,144.13
749,119.49
729,107.14
638,82
482,82.09
273,112.98
49,131.22
0,181.26
0,177.55
0,155.97
0,143.34
0,131.31
0,77.27
0,49.06
0,51.83
0,56.11
0,43.67
0,43.28
0,46.07
0,62.15
4,76.18
167,56.84
395,61.85
577,67.28
698,61.97
751,43.81
732,42.36
641,31.16
486,31.13
277,44.82
51,97.85
0,180.95
0,187.41
0,122.96
0,102.07
0,75.26
0,56.73
0,58.28
0,106.36
0,89.77
0,87.32
0,61.66
0,92.39
0,141.41
4,184.81
167,202.19
396,204.13
578,154.77
700,107.03
754,68.93
735,60.03
645,51.04
490,48.2
281,55.96
53,84.9
0,155.28
0,127.26
0,103.2
0,103.31
0,74.51
0,48.55
0,62.35
0,135.02
0,122.1
0,112.37
0,112.44
0,137.11
0,146.28
4,147.43
168,142.29
397,142.92
579,156.56
702,126.46
756,100.24
738,91.01
648,81.7
493,81.17
285,81.34
56,98.82
0,164.78
0,157.71
0,129.49
0,97.86
0,70.93
0,65.19
0,66.96
0,17.8
0,17.63
0,16.9
0,16.7
0,16.65
0,17.78
4,20.39
168,20.22
398,24.82
581,26.19
704,30.09
759,33.63
741,34.84
651,28.63
497,28.34
289,30.75
58,33.93
0,49.8
0,52.93
0,45.92
0,40.46
0,38.22
0,37.45
0,29.86
0,30.36
0,29.16
0,28.07
0,28.09
0,30.34
0,32.74
4,44.22
169,47.57
399,38.87
583,38.33
706,39.28
761,25.21
744,25.21
655,31.55
501,33.06
293,33.37
61,37.8
0,44.77
0,47.28
0,42.35
0,36.13
0,33.99
0,40.55
0,39.42
0,22.44
0,20.73
0,19.76
0,18.51
0,18.06
0,19.36
4,21.41
169,17.59
400,20.3
584,24.44
709,25.21
764,26.11
747,23.72
659,23.43
505,23.34
297,23.34
64,24.29
0,29.1
0,30.5
0,27.08
0,24.92
0,22.87
0,18.22
0,17.68
0,12.61
0,12.62
0,12.68
0,12.86
0,12.68
0,17
4,20.77
170,21.81
401,21.19
586,19.76
711,17.97
767,18.18
751,19.15
663,19.22
509,19.22
301,19.44
67,19.98
0,24.78
0,25.25
0,19.81
0,23.11
0,16.24
0,18.4
0,16.44
0,16.33
0,12.68
0,12.72
0,12.71
0,12.71
0,14.73
4,16.06
171,16.31
403,17.64
588,21.02
714,22.19
771,22.48
754,21.41
667,19.94
513,19.33
305,19.07
70,21.75
0,24.04
0,26.94
0,23.33
0,20.74
0,18.82
0,15.2
0,15.48
0,12.51
0,11.38
0,11.46
0,11.46
0,11.39
0,12.54
5,14.96
172,13.89
404,20.59
591,21.31
717,21.28
774,18.76
758,17.72
671,15.6
518,15.49
310,15.45
73,15.68
0,19.28
0,26.67
0,24.15
0,21.29
0,17.9
0,15.48
0,13.96
0,13.93
0,17.84
0,16.02
0,16.82
0,18.03
0,21.74
5,30.9
174,13.38
406,8.62
593,8.62
720,8.62
777,8.62
762,8.62
675,8.62
522,3.68
314,5.71
76,7.59
0,13.45
0,13.37
0,8.03
0,7.98
0,3.75
0,3.65
0,7.59
0,7.82
0,17.13
0,16.64
0,16.28
0,16.32
0,20.64
5,21.23
175,17.13
408,13.68
595,13.7
723,11.06
781,8.62
766,8.62
679,10.88
527,7.59
319,12.82
79,13.97
0,14.2
0,18.66
0,28.6
0,24.87
0,20.11
0,14.06
0,12.86
0,23.38
0,22.76
0,22.69
0,21.93
0,22.44
0,26.5
5,36.44
177,43.16
410,41.27
598,37.43
726,36.61
784,37.35
770,33.83
684,30.86
531,29.4
323,26.72
83,30.08
0,32.33
0,34.79
0,39.55
0,37.06
0,29.59
0,26.53
0,23.51
0,19.94
0,17.13
0,17.01
0,16.88
0,16.98
0,19.7
6,20.98
178,22.1
413,25.47
601,25.91
729,25.12
788,23.78
774,21.25
688,20.02
536,18.13
328,17.7
87,18.2
0,19.89
0,24.63
0,33.26
0,31.08
0,27.12
0,22.46
0,19.17
0,26.15
0,25.91
0,24.74
0,24.54
0,25.25
0,27.91
6,27.69
180,29.7
415,32.47
604,35.86
733,31.72
792,28.24
779,22.06
693,20.08
540,20.06
333,19.24
90,22.42
0,23.95
0,28.57
0,35.21
0,40.01
0,32.71
0,27.92
0,27.59
0,27.41
0,26.59
0,25.85
0,26.27
0,26.88
0,30.37
6,38.2
182,42.95
418,43.08
607,31.02
736,28.94
796,27.84
783,26.22
697,25.12
545,23.59
337,25.12
94,25.36
0,27.49
0,30.51
0,42.92
0,42.5
0,35.72
0,27.68
0,26.38
0,19.68
0,19.17
0,17.3
0,17.13
0,19.21
0,22.7
7,33.4
184,35.06
420,31.71
610,33.05
740,32.44
800,31.42
787,29.63
702,29.52
550,28.91
342,28
98,30.01
0,31.46
0,31.9
0,33.84
0,34.66
0,29.56
0,23.94
0,24.47
0,21.11
0,18.31
0,16.58
0,16.19
0,16.02
0,17.19
7,19.08
187,20.21
423,20.72
613,23.49
744,23.88
804,23.85
792,22.14
707,21.88
555,20.24
347,21.17
102,21.39
0,23.72
0,25.95
0,28.92
0,31.45
0,26.24
0,21.34
0,20.07
0,3.74
0,3.72
0,5.82
0,7.37
0,6.95
0,6.63
8,9.01
189,3.72
426,3.72
617,3.74
748,3.74
809,3.74
797,3.72
712,3.29
560,3.34
352,3.36
106,3.41
0,3.72
0,3.72
0,3.35
0,3.44
0,3.23
0,3.16
0,3.62
0,13.9
0,12.99
0,13.12
0,13.13
0,13.23
0,13.25
8,14.3
192,15.34
429,15.33
620,15.43
752,16.05
813,15.46
801,15.35
717,15.56
565,15.66
357,15.95
110,15.88
0,15.83
0,15.42
0,15.42
0,15.49
0,15.85
0,15.43
0,14.17
0,10.53
0,11.26
0,11.16
0,11.09
0,11.19
0,11.39
9,14.36
194,14.8
432,14.98
624,15.12
756,15.27
818,15.3
806,15.28
722,15.23
570,15.22
362,15.42
115,15.42
0,15.74
0,15.28
0,15.33
0,15.33
0,15.03
0,14.49
0,13.17
0,10.25
0,9.66
0,6.87
0,7.04
0,8.7
0,9.38
9,9.83
197,12.39
436,16.63
628,19.89
760,20.89
822,20.97
811,20.64
727,19.24
575,16.37
367,16.38
119,21.35
0,21.59
0,21.97
0,22.65
0,23.09
0,25.98
0,19.2
0,13.4
0,13.15
0,13.15
0,12.11
0,12.15
0,12.11
0,12.64
10,7.92
200,4.16
439,4.21
632,7.92
764,7.92
827,7.92
816,7.92
732,7.92
580,7.92
372,7.92
124,7.92
0,7.92
0,7.92
0,7.92
0,7.92
0,7.92
0,7.92
0,7.92
0,11.74
0,9.35
0,9.34
0,9.34
0,9.28
0,7.23
11,10.02
204,6.38
443,6.42
636,11.15
769,12.11
832,12.11
821,12.11
737,8.52
585,11.15
377,8.78
129,7.86
0,12.11
0,12.11
0,11.07
0,12.11
0,14.05
0,13.05
0,12.57
0,1.35
0,1.6
0,1.6
0,1.77
0,0
0,1.35
12,1.28
207,1.06
447,1.06
640,1.07
773,0.91
837,0.92
826,0.92
742,0.97
591,0.97
382,0.98
133,0.98
0,0.99
0,0.92
0,1.3
0,1.31
0,1.08
0,1.29
0,1.31
0,1.09
0,1.4
0,1.75
0,1.61
0,1.27
0,1.11
13,1.45
210,2.63
451,2.9
645,3.45
778,4.02
842,4.23
831,4.21
747,4.35
596,4.26
387,4.55
138,10.22
0,5.55
0,4.46
0,4.35
0,4.85
0,2.73
0,1.81
0,0.84
0,1
0,21.95
0,19.7
0,17.48
0,17.12
0,17.86
13,16.76
214,17.14
455,23.26
649,26.02
783,28.26
847,33.41
837,36.99
753,40.04
601,42.74
392,48.13
143,53.41
0,56.33
0,46.57
0,42.14
0,33.56
